"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"231","TailGate Brewery Music Row","","1. Yes","Null","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"A brewery with taprooms offering a rotating beer list and live music","","","(629) 702-5914","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1538 DEMONBREUN ST","09313000800","https://www.tailgatebeer.com/",37203,"Davidson","Nashville",36.1525863095048,-86.7913341067971
"232","Tailgate Brewery-HQ","","1. Yes","Null","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Substantial revenue from restaurant or bar outside of live music","","","(615) 861- 9842","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"7300 CHARLOTTE PIKE","11400013700","https://www.tailgatebeer.com/",37209,"Davidson","Nashville",36.120024253727,-86.9200384050652
"233","Tennessee Brew Works","","1. Yes","200","4. Information unavailable","","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Beers brewed on-site offered in an industrial taproom with oak barrel tables, a patio & live music.","","","(615) 436-0050","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"809 EWING AVE","09314033500","https://www.tnbrew.com/",37203,"Davidson","Nashville",36.1502985352342,-86.7762324160791
"234","Tequila Cowboy","","3. Information unavailable","Null","4. Information unavailable","4. 20+ Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Buzzy, multi-roomed nightspot featuring a live music stage, dance club, game area and mechanical bull.","","","(615) 742-9078","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"305 BROADWAY","09306402600","https://tequilacowboy.com/nashville/",37201,"Davidson","Nashville",36.1612463806724,-86.7760994756584
"235","Texas Troubadour Theatre","","3. Information unavailable","150","4. Information unavailable","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"An intimate and historically rich venue for audiences who enjoy listening to live traditional country music, featuring many legendary country artists and up and coming performers","","","(615) 889-2474","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2416 MUSIC VALLEY DR","06200023300","http://www.texastroubadourtheatre.com/phone/index.html",37214,"Davidson","Nashville",36.2193629960737,-86.6971097730653
"236","The 5 Spot","Eric Holt","1. Yes","","3. Never","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"3. Somewhat likely",0,0,0,"The 5 Spot is East Nashville's live music venue and hang out.","","manager@the5spot.club","(615) 650-9333","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1006 FORREST AVE","08309013000","https://the5spot.club/",37206,"Davidson","Nashville",36.1782850846992,-86.7503970661217
"237","The Back Corner","","2. No","200","4. Information unavailable","","2. 3-10 Years","","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Cool nightclub with a chill vibe offering VIP service, eclectic DJs & a lively dance floor featuring ticketed live concerts","","","(615) 242-4747","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1401 5TH AVE N","08112041500","http://5thandtaylor.com/",37208,"Davidson","Nashville",36.1786123062196,-86.7922187870216
"238","The Ballad of Emerson Hall","","2. No","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"The Ballad of Emerson Hall is a music venue located in East Nashville's historic Emerson Hall. It offers a range of services, including drinks, snacks, live music performances, and traditional straight razor shaves. The venue also hosts special events and line dance lessons and two-step instruction for bachelorette parties.","","contact@theballadeast.com","(615) 681-0196","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2510 GALLATIN AVE","07213038300","https://www.theballadeast.com/",37206,"Davidson","Nashville",36.1958991587512,-86.7418591835306
"239","The Basement East","Eric Holt","2. No","","2. Sometimes","4. 20+ Events per month","2. 3-10 Years","1. Ticket sales","2. Not too likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,1,0,"The Basement is a cozy live music venue with a spacious patio hosting an array of alternative, rock & indie artists.","","thebasement615@gmail.com","(615) 645-9174","","","Alternative, Rock, and Indie",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1604 8TH AVE S","10506019900","https://www.thebasementnashville.com/",37203,"Davidson","Nashville",36.1370552377897,-86.7783603424595
"240","The Big Bang Dueling Pianos","","1. Yes","300","2. Sometimes","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Rocking sing-along bar featuring dueling pianos, comedy & audience participation.","","","(615) 264-5650","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"209 3RD AVE N","09302316600","https://thebigbangbar.com/",37201,"Davidson","Nashville",36.1645077911976,-86.7783335661158
"241","The Blue Room at Third Man Records","Eric Holt","1.Yes","Null","4. Information unavailable","20-Nov","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"A live venue at Third Man Records with direct recording capabilities - that also hosts indie film screenings, stand-up comedy and more","","","(615) 891-4393","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"623 7TH AVE S","09314021600","https://theblueroombar.com/",37203,"Davidson","Nashville",36.1522569430088,-86.7781155800534
"242","The Bluebird Cafe","Eric Holt","3. Information unavailable","100","3. Never","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","3. Somewhat likely","4. Very Likely",NA,"1.Not At All Likely",0,0,0,"The Bluebird Cafe is one of the world's preeminent listening rooms that has gained worldwide recognition as a songwriter's performance space where the ""heroes behind the hits"" perform their own songs; songs that have been recorded by chart-topping artist","","info@bluebirdcafe.com","(615) 383-1461","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4104 A HILLSBORO PIKE","131020B00300CO","https://bluebirdcafe.com/",37215,"Davidson","Nashville",36.1020978226001,-86.816840840808
"243","The Bowery Vault","Adrianna Flax","1. Yes","Null","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","3. Tips","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The Bowery Vault is where music and fashion lovers can shop, drink and listen to original live music in an intimate setting.","Vero Sanchez","veromusicnyc@gmail.com","(615) 730-5024","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2905 GALLATIN PIKE","07210001400","http://www.theboweryvault.com/",37216,"Davidson","Nashville",36.2028267399815,-86.7393782987065
"244","The Bridge (Renaissance Nashville Hotel)","","2. No","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Bridge at Renaissance Nashville Hotel is the place to be and has the ""it-factor"" making our unique venue a must Nashville experience.","","","(615) 630-3899","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"611 COMMERCE ST","09306311900","https://www.marriott.com/en-us/hotels/bnash-renaissance-nashville-hotel/dining/",37203,"Davidson","Nashville",36.1607643782364,-86.7811421947112
"245","The Cobra","","1. Yes","260","3. Never","3. 11-20 Events per month","","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"An eclectic bar and entertainment venue with live music of almost every genre almost every night in the venue. Billiards, arcade games, and pinball in the game room and darts in the main bar.","","","(629) 800-2515","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2511 GALLATIN AVE","07213009300","https://cobranashville.com/shows/",37206,"Davidson","Nashville",36.1955792228637,-86.7432467467452
"246","The Countrypolitan Bar & Kitchen (inside Hotel Indigo)","","2. No","","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","","2. Not too likely","2. Not too likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Chic hotel lobby lounge with upscale pub food, plus a full bar with craft beer selections.","","","(615) 891-6000","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"301 UNION ST","09302315200","countrypolitanhotel.com",37201,"Davidson","Nashville",36.1653572142197,-86.778757423565
"247","The Cowan","","2. No","600","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"A two-story live performance venue with a capacity of over 600; featuring a state-of-the-art sound and light system, an open floor plan & a balcony with limited seating","","","(615) 205-9667","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"500 COWAN ST","08210006200","https://topgolf.com/us/nashville/",37207,"Davidson","Nashville",36.1786576976641,-86.7777711471362
"248","The District Bar & Kitchen (Hotel Indigo Downtown)","","2. No","90","4. Information unavailable","","","","1.Not At All Likely","2. Not too likely","2. Not too likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Restaurant serves seasonal local and regional fare, craft cocktails, local small batch beers, and nightly live music.","","","(615) 891-6000","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"315 UNION ST","09302315100","https://nashvilledowntown.com/go/the-district-bar-and-kitchen",37201,"Davidson","Nashville",36.1651646911003,-86.778957659415
"249","The Donelson Pub","","1. Yes","","2. Sometimes","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"","","","(615) 889-9653
","945 Allen Rd, Nashville, TN 37214","Allen Rd","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"945 ALLEN RD","09613015301","https://www.facebook.com/worldfamousdonelsonpub/",37214,"Davidson","Nashville",36.1503152686151,-86.6657500404843
"250","The East Room","Adrianna Flax","2. No","","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"The East Room is a down-to-earth performance space showcasing rock bands, comedy nights, theater & dance parties.","","booking@theeastroomnashville.com","(615) 678-4936","","","Rock",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2412 GALLATIN AVE","07213039000","https://www.theeastroomnashville.com/",37206,"Davidson","Nashville",36.1945058669997,-86.742978431938
"251","The Eighth Room","","1. Yes","","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,1,0,"When you enter The Eighth Room, you are on the 'inside' both literally and figuratively; immersed within a living, breathing art piece that envelops you in a cocoon of luxury, style, and good vibes. At its heart... our bar.","Jason Hollis and Brad Dunbar","","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2106 8TH AVE S","10510029900","https://www.eighthroom.com/",37204,"Davidson","Nashville",36.1318899357745,-86.778606479564
"252","The Electric Jane","Marcus Dowling","1. Yes","","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The Electric Jane is a modern day dining and live entertainment club. Through careful curation, our vision is to deliver the finest and most evolved presentation of entertainment in food and beverage hospitality.","John Hurd","","(615) 964-7175","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1221 DIVISION ST","09313058400","https://theelectricjane.com/",37203,"Davidson","Nashville",36.1510967144666,-86.7874212632153
"253","The End","Eric Holt","1. Yes","","3. Never","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"The End is Nashville’s premier small-capacity Rock N Roll dive bar. The End has played host to several of the world’s finest and most raucous bands over quite a long time and still provide a small club experience like nowhere else you’ll find.","","endbruce@yahoo.com","(615) 321-4457","","","Rock",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2219 ELLISTON PL","09215017100","https://endnashville.com/",37203,"Davidson","Nashville",36.1511421585056,-86.8038906255904
"254","The Fairgrounds Nashville ","","2. No","","1. Always","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"4. Very Likely",0,0,0,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes.","Laura Womack","Laura.Womack@nashville.gov","615-862-8980","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","The Fisher Center for the Performing Arts ","","2. No","","4. Information unavailable","1. 1-4 Events per month","1. 0-3 Years","1. Ticket sales","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Located at the heart of Belmont University’s campus, the Fisher Center is an artistic catalyst for engagement, inspiration, and discovery. The new performance hall adds another jewel to Music City’s crown of world-class venues as it caters to diverse audiences with major concerts and events while also supplying Belmont students with an exceptional learning and performing environment. ","","fishercenter@belmont.edu","(615) 460-5555","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","The Getalong","","1. Yes","","4. Information unavailable","","","1. Ticket sales","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Getalong is a warm and welcoming retail and community event space located in the heart of East Nashville’s Historic Edgefield neighborhood.","Jennifer Kite","thegetalongshop@gmail.com","(615) 292-7775","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"700 A FATHERLAND ST","08216023900","https://thegetalongshop.com/",37206,"Davidson","Nashville",36.17135889092,-86.7588942469637
"257","The Gibson Garage","","1. Yes","","4. Information unavailable","","4. 20+ Years","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Gibson Guitar Store located in Cummins Station. Try out a guitar, take a lesson, learn about Gibson's history, or see a live show on our stage. Our flagship in Nashville, Tennessee, is a must-see destination for players and fans alike.","","service@gibson.com","(615) 933-6000","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"209 10TH AVE S","09309032000","https://www.gibson.com/en-US/garage",37203,"Davidson","Nashville",36.1551063591957,-86.7825688983274
"258","The Goat","","2. No","196","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Goat is a social space with a community-inspired menu, crafted cocktails, a wide range of local bourbons & brews, live music performances, ans community events. Live music held Thursday - Saturday nights.","","","(615) 762-3101","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1226 2ND AVE N","08209037500","https://www.lcgoat.com/",37208,"Davidson","Nashville",36.177745886573,-86.7843766894002
"259","The Green Light","","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","","3. Tips","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Green Light is a local bar in Nashville's Gulch district with live music, sports and games","","thegreenlightbar@gmail.com","(615)281-9005","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"833 9TH AVE S","10502002000","https://thegreenlightbar.com/",37203,"Davidson","Nashville",36.1472350803029,-86.7806502045931
"260","The Hampton Social","","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Known for our lively dining experiences featuring exceptional coastal-inspired food, cocktails and live music in a beautifully designed atmosphere.","","","(615) 622-7772","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"201 1ST AVE S","093064C00100CO","https://www.thehamptonsocial.com/nashville",NA,"","",36.1597354234692,-86.7730725579049
"261","The Hideout Salon and Lounge","Adrianna Flax","1. Yes","","4. Information unavailable","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Hideout Salon and Lounge is a funky, eclectic salon located in the heart of East Nashville. Our mission is to give the community great hair and cultivate a safe space to be creative. Our space is one that is for the misfits, the creators, the yogis, the artists, the musicians, the loiterers, the rebels, and most of all for good hair! ","Chelsea J.","","(615) 271-7318","2605 Gallatin Pike, Nashville, TN 37216","Gallatin Pike","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2605 GALLATIN AVE","07213003900","https://www.thehideoutsalonandlounge.com/",37216,"Davidson","Nashville",36.1966213608363,-86.7425625854246
"262","The High Watt ","","2. No","","4. Information unavailable","2. 5-10 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","4. Very Likely","3. Somewhat likely",NA,"4. Very Likely",0,0,0,"The High Watt is the most intimate room at the popular local music venue complex Mercy Lounge.","Erin Gameson","erin@mercylounge.com","615-251-3020","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","The Jamnasium-nashville City Center","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Nashville City Center's JamNasium music studio hosts live music performances.  Additionally, there are poetry and musical performances in the courtyard of the building.","","","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"511 UNION ST","09306101600","https://nashvillecitycenter.com/jamnasium",37219,"Davidson","Nashville",36.1638527383459,-86.7817578068053
"264","The Lipstick Lounge","Adrianna Flax","1. Yes","151","1. Always","2. 5-10 Events per month","4. 20+ Years","1. Ticket sales","4. Very Likely","3. Somewhat likely","3. Somewhat likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"Gay-friendly, all-are-welcome bar with karaoke, trivia & dancing plus pub grub in a bright setting.","Christa Suppan","","(615) 226-6343","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1400 WOODLAND ST","08309041700","http://www.thelipsticklounge.com/",37206,"Davidson","Nashville",36.1767610762683,-86.7457151246203
"265","The Listening Room","","1. Yes","250","4. Information unavailable","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"A songwriter-oriented venue with great food, event space and more.","","info@listeningroomcafe.com","(615) 259-3600","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"618 4TH AVE S","09311024500","https://www.listeningroomcafe.com/nashville",37210,"Davidson","Nashville",36.1538170464579,-86.7721605671881
"266","The Local Distro","Eric Holt","3. Information unavailable","","3. Never","","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","2. Not too likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The Local Distro is focused on community, and they are a collective hub for food and spirits + music. Operating Tuesday – Saturday 10am to 7pm, with lineups of special events for local artists and community classes.","","info@thelocaldistro.com","(615) 942-8276","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"614 GARFIELD ST","08108041400","https://www.facebook.com/TheLocalDistroTN/",37208,"Davidson","Nashville",36.181432093184,-86.7950046326403
"267","The Local Nashville","","1. Yes","200","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"A neighborhood bar with a full kitchen and love music.","","","(615) 320-4339","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"110 28TH AVE N","10403000500","https://localnash.com/",37203,"Davidson","Nashville",36.1459148461944,-86.8126243584318
"268","The Nashville Palace","","2. No","","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"The Nashville Palace is a music venue and restaurant located in Nashville, Tennessee. It was first opened in 1977 as a part of the Opryland USA theme park, which was later closed and redeveloped.","","","(615) 889-1541","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2611 A MCGAVOCK PIKE","06200023700","https://www.thefamousnashvillepalace.com/",37214,"Davidson","Nashville",36.2177283290454,-86.6982065871104
"269","The Office Nashville","","1. Yes","","4. Information unavailable","2. 5-10 Events per month","1. 0-3 Years","1. Ticket sales","2. Not too likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,1,0,"Live Music Venue","","","(615) 853-5339","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"604 GALLATIN AVE","08305012900","No website available",37206,"Davidson","Nashville",36.1828847673678,-86.7491482631453
"270","The Parthenon","Eric Holt","2. No","","3. Never","","4. 20+ Years","","2. Not too likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Parthenon in Nashville, Tennessee, is a full-scale replica of the original Parthenon in Athens, Greece. The Parthenon is also a popular event space, hosting weddings, private parties, and other special events.","","info@parthenon.org","(615) 862-8431","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2500 WEST END AVE","09214007600","https://www.nashvilleparthenon.com/events",37203,"Davidson","Nashville",36.1494376021062,-86.8129354989031
"271","The Row Kitchen & Pub","","3. Information unavailable","80","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Signature burgers, seafood & 20+ Southern draft beers served in a rustic-chic space with live music.","","genuine@therownashville.com","(615) 321-1224","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"110 LYLE AVE","09216013400","https://www.therownashville.com/",37203,"Davidson","Nashville",36.1513555689519,-86.7977197875134
"272","The Rum Room","Eric Holt","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","Kamal Kalokoh & Rasheaun Conaway","info@riddimnspice.com","(615) 953-7121","2116 Meharry Blvd, Nashville, TN 37208","Meharry Blvd","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2116 MEHARRY BLVD","09203005800","https://www.riddimnspice.com/riddimnspice-com-therumroom",37208,"Davidson","Nashville",36.168040876761,-86.8106219178832
"273","The Roadside Bar & Grill","","3. Information unavailable","","4. Information unavailable","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Your neighborhood bar and grill. Hidden from the road, with a leash-free dog park, our patio out bac","","
info@roadsidebarandgrilltn.com","(615) 953-3880","","Old Hickory Blvd","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4617 OLD HICKORY BLVD","07509015400","https://www.roadsidebarandgrilltn.com/",37138,"Davidson","Olk Hickory",36.2027107020163,-86.6218814228337
"274","The Second Fiddle","","3. Information unavailable","150","4. Information unavailable","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Music mementos adorn the brick walls of this cozy honky-tonk offering drinks & live country tunes.","","","(615) 251-6812","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"420 BROADWAY","09306307400","https://www.thesecondfiddle.com/",37203,"Davidson","Nashville",36.1609442321853,-86.7782059231969
"275","The Stage on Broadway","Marcus Dowling","3. Information unavailable","275","4. Information unavailable","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Honky-tonk featuring live country bands & a dance floor by a large mural depicting music icons","","","(615) 726-0504","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"412 BROADWAY","09306307800","https://www.thestageonbroadway.com/",37203,"Davidson","Nashville",36.1610726924692,-86.7779118808386
"276","The Station Inn","","1. Yes","","1. Always","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"The Station Inn is a listening room in the heart of Nashville, featuring the world’s best bluegrass, roots, classic country, and Americana.","","","(615) 255-3307","","","Bluegrass, classic country, and Americana ",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"402 12TH AVE S","09313058100","https://stationinn.com/",37203,"Davidson","Nashville",36.1525861232894,-86.7844400713344
"277","The Stillery (Downtown)","","3. Information unavailable","120","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","3. Tips","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The kind of place you can relax, eat outstanding, fresh food, and enjoy a signature mason jar cocktail. We serve up amazing brick fired pies, juicy stacked burgers, fresh salads and tantalizing starters.","","","(615) 942-8080","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"113 2ND AVE N","09306204900","https://www.thestillery.com/",37201,"Davidson","Nashville",36.1622369937802,-86.7757011894373
